time_s,height_m
0,0
0.04,0.792152
0.08,1.568608
0.12,2.329368
0.16,3.074432
0.2,3.8038
0.24,4.517472
0.28,5.215448
0.32,5.897728
0.36,6.564312
0.4,7.2152
0.44,7.850392
0.48,8.469888
0.52,9.073688
0.56,9.661792
0.6,10.2342
0.64,10.790912
0.68,11.331928
0.72,11.857248
0.76,12.366872
0.8,12.8608
0.84,13.339032
0.88,13.801568
0.92,14.248408
0.96,14.679552
1,15.095
1.04,15.494752
1.08,15.878808
1.12,16.247168
1.16,16.599832
1.2,16.9368
1.24,17.258072
1.28,17.563648
1.32,17.853528
1.36,18.127712
1.4,18.3862
1.44,18.628992
1.48,18.856088
1.52,19.067488
1.56,19.263192
1.6,19.4432
1.64,19.607512
1.68,19.756128
1.72,19.889048
1.76,20.006272
1.8,20.1078
1.84,20.193632
1.88,20.263768
1.92,20.318208
1.96,20.356952
2,20.38
2.04,20.387352
2.08,20.379008
2.12,20.354968
2.16,20.315232
2.2,20.2598
2.24,20.188672
2.28,20.101848
2.32,19.999328
2.36,19.881112
2.4,19.7472
2.44,19.597592
2.48,19.432288
2.52,19.251288
2.56,19.054592
2.6,18.8422
2.64,18.614112
2.68,18.370328
2.72,18.110848
2.76,17.835672
2.8,17.5448
2.84,17.238232
2.88,16.915968
2.92,16.578008
2.96,16.224352
3,15.855
3.04,15.469952
3.08,15.069208
3.12,14.652768
3.16,14.220632
3.2,13.7728
3.24,13.309272
3.28,12.830048
3.32,12.335128
3.36,11.824512
3.4,11.2982
3.44,10.756192
3.48,10.198488
3.52,9.62508800000001
3.56,9.035992
3.6,8.43119999999999
3.64,7.810712
3.68,7.174528
3.72,6.52264799999999
3.76,5.85507199999999
3.8,5.1718
3.84,4.472832
3.88,3.758168
3.92,3.02780800000001
3.96,2.281752
4,1.52
