time_s,position_m
0,0
0.1,1.95095
0.2,3.8038
0.3,5.55855
0.4,7.2152
0.5,8.77375
0.6,10.2342
0.7,11.59655
0.8,12.8608
0.9,14.02695
1,15.095
1.1,16.06495
1.2,16.9368
1.3,17.71055
1.4,18.3862
1.5,18.96375
1.6,19.4432
1.7,19.82455
1.8,20.1078
1.9,20.29295
2,20.38
2.1,20.36895
2.2,20.2598
2.3,20.05255
2.4,19.7472
2.5,19.34375
2.6,18.8422
2.7,18.24255
2.8,17.5448
2.9,16.74895
3,15.855
3.1,14.86295
3.2,13.7728
3.3,12.58455
3.4,11.2982
3.5,9.91375
3.6,8.43119999999999
3.7,6.85054999999998
3.8,5.1718
3.9,3.39494999999999
4,1.52
