Time_s,Temperature_C
0,80
12.5,72.5
25,65.9375
37.5,60.1953125
50,55.1708984375
62.5,50.7745361328125
75,46.9277191162109
87.5,43.5617542266846
100,40.616534948349
112.5,38.0394680798054
125,35.7845345698297
137.5,33.811467748601
150,32.0850342800259
162.5,30.5744049950226
175,29.2526043706448
187.5,28.0960288243142
200,27.0840252212749
212.5,26.1985220686156
225,25.4237068100386
237.5,24.7457434587838
250,24.1525255264358
262.5,23.6334598356313
275,23.1792773561774
287.5,22.7818676866552
300,22.4341342258233
